#class tools::wcsv::ntuple
#title Data
#separator 44
#vector_separator 59
#column string name
#column double x
#column double y
#column double z
#column double vx
#column double vy
#column double vz
#column double E
neutron,18.797,10.6817,42,14.6172,21.0459,29.2349,0.577532
proton,19.6726,11.9423,43.7511,0.807377,-7.17481,19.3116,0.0541104
gamma,-19.7452,9.78422,42,-1.16818,0.564395,2.5398,2.85197
gamma,2.04485,17.7336,42,0.0412274,0.0796018,0.230718,0.247521
gamma,-1.97852,-0.824095,42,-0.0180212,-0.0358878,0.432539,0.323679
e-,-2.32012,-1.50438,50.1991,-0.116731,0.218967,0.252633,0.105633
gamma,0.26548,1.9027,42,0.0199333,0.113344,0.497871,0.500289
e-,0.310245,2.15724,43.1181,-0.0878345,-0.0451656,0.0359283,0.0100136
gamma,5.63163,19.0391,42,0.169194,0.807263,1.58784,1.78928
gamma,13.8698,16.1637,42,0.205162,0.340142,0.955647,0.532438
e-,14.2686,16.8248,43.8573,0.0177183,-0.0117252,-0.00617785,0.000455839
e-,14.2686,16.8248,43.8573,0.0960771,0.671282,0.552335,0.442746
neutron,4.27188,-18.7711,42,-2.09734,-9.7815,33.3132,0.616605
O16,4.16977,-19.2473,43.6219,11.6364,17.7803,18.7945,0
gamma,-19.7717,9.55475,42,-0.103123,0.0693271,0.248382,0.27773
gamma,0.240009,-17.136,42,0.0895666,-2.47415,5.95934,0.989546
e-,0.325854,-19.5073,47.7117,-0.734508,-2.30573,5.43862,5.0888
gamma,-0.0832389,1.87032,42,-0.00935496,0.226562,6.49284,6.4968
gamma,6.27174,-16.3122,42,0.118217,-0.230223,0.792476,0.529127
e-,6.79373,-17.3288,45.4992,0.0207002,0.000472784,0.00780135,0.000469293
e-,6.79373,-17.3288,45.4992,0.378633,-0.330854,0.387655,0.287823
gamma,-0.999564,18.7344,42,-0.210791,0.398978,1.37866,1.45063
gamma,-19.4767,-17.9354,42,-0.554657,-0.323339,0.948896,1.14569
neutron,13.3255,-17.285,42,15.2527,-10.2292,37.2691,0.8193
O16,15.2292,-18.5617,46.6516,-5.02503,-43.4412,32.1686,0
gamma,-14.7745,19.8286,42,-0.264777,0.346871,0.735132,0.500296
e-,-14.8087,19.8734,42.0949,0.0659701,-0.0284866,0.694947,0.339788
gamma,-6.00884,18.4339,42,-0.389011,0.923192,2.13346,0.329096
e-,-6.31376,19.1576,43.6723,-0.340037,0.693462,2.36391,1.92606
gamma,0.933905,-0.208623,42,0.270972,0.124403,2.39997,0.800412
e-,1.5775,0.0868521,47.7003,0.295926,-0.547108,1.97092,1.46004
gamma,11.3021,-19.8916,42,0.257804,-0.457804,0.983415,1.11497
gamma,16.4777,5.49532,42,0.285391,0.238385,1.0027,0.881675
e-,17.4552,6.31186,45.4346,-0.29209,0.0310944,0.375259,0.181249
gamma,-18.7324,-7.31597,42,-0.531899,-0.221272,1.2331,1.36103
gamma,-14.2761,19.4163,42,-0.804033,1.10289,2.36763,2.73286
gamma,-9.49368,19.7679,42,-0.371462,0.655085,1.48705,1.66686
gamma,6.15438,-17.1176,42,0.0271204,-0.197785,0.474284,0.300165
e-,6.41996,-19.0545,46.6446,0.181958,0.0590472,0.478017,0.203859
gamma,9.0454,19.7795,42,0.747858,1.5965,3.51469,3.93207
gamma,0.7694,16.2952,42,-0.0124023,0.0264063,0.0693646,0
e-,-0.0461677,18.0317,46.5614,-0.0106132,0.00369113,-0.0194613,0.000481883
e-,-0.0461677,18.0317,46.5614,0.180234,0.202832,0.0911754,0.0680573
gamma,-19.1116,-13.27,42,-0.953813,-0.656462,2.12543,2.42036
gamma,-3.75872,14.9389,42,-0.0285529,0.215681,0.632527,0.187681
e-,-3.78546,15.1409,42.5923,-0.0604342,0.340364,0.777074,0.460024
