#class tools::wcsv::ntuple
#title Data
#separator 44
#vector_separator 59
#column string name
#column double x
#column double y
#column double z
#column double vx
#column double vy
#column double vz
#column double E
gamma,-8.27817,14.2214,42,-0.255924,0.551151,1.78634,1.88687
anti_nu_e,6.88238,-11.5939,42,0.0426689,-0.0821968,0.262033,0.277918
gamma,5.09665,17.5668,42,0.147625,0.483713,0.915717,1.04609
gamma,1.24222,19.8885,42,0.0521334,0.685779,1.22273,1.40289
gamma,-19.9577,-18.8005,42,-0.439347,-0.366657,0.741423,0.936574
gamma,-0.707974,-1.30126,42,-0.124142,-0.209276,5.85233,5.85739
gamma,17.1516,19.9748,42,1.13536,1.35613,2.78716,3.30097
gamma,-1.4803,-0.0729911,42,-0.229246,-0.0557831,7.30519,7.30899
gamma,18.2649,13.9915,42,1.76454,1.20802,3.96347,4.50355
gamma,-13.81,-15.3429,42,-0.403352,-0.486102,1.31274,1.4568
gamma,6.07445,17.4292,42,0.321765,0.874863,2.06021,0.496966
e-,6.8507,19.5398,46.9702,0.282836,0.392136,2.16381,1.65625
neutron,-3.79856,-1.61882,42,-7.19502,-5.07627,27.8612,0.278579
proton,-3.91807,-1.70314,42.4628,-11.262,9.4542,10.6597,0
gamma,3.3795,-18.5502,42,0.165207,-0.940587,2.13564,2.33943
gamma,19.3497,13.7982,42,0.334837,0.263203,0.764875,0.875457
gamma,-6.78553,-17.6509,42,-0.0696007,-0.174233,0.462992,0.499563
gamma,-16.965,16.4378,42,-0.468359,0.587837,1.66623,0.283264
e-,-17.1151,16.6262,42.534,-0.738039,0.627455,1.73954,1.39678
gamma,19.906,10.5623,42,0.0866601,0.0444114,0.203445,0.225549
gamma,-19.2986,18.2621,42,-0.430499,0.386104,1.0195,1.17209
gamma,-0.0516836,-15.5568,42,-0.0469837,-0.12236,0.518984,0.480242
e-,-0.100051,-15.6827,42.5343,-0.202774,0.0767537,0.110694,0.0501804
gamma,17.019,18.7038,42,0.582588,0.447469,1.12454,1.01666
e-,17.1347,18.7927,42.2234,0.406887,0.508648,0.126771,0.310597
gamma,14.8139,19.9348,42,1.15718,1.43588,3.12451,3.62814
gamma,4.87592,-17.025,42,0.167394,-1.10639,2.66303,2.88857
gamma,18.7252,-17.9523,42,1.28735,-1.24766,2.64967,3.19917
gamma,-19.203,-7.67952,42,-0.746178,-0.153772,1.67902,1.84378
gamma,-0.572822,-1.58854,42,-0.0106413,-0.033357,0.170131,0.130833
e-,-0.694007,-1.96841,43.9375,0.120544,-0.0366248,0.172498,0.0411601
gamma,-17.2229,-19.2843,42,-0.901269,-1.00867,2.22402,2.60307
neutron,-0.994924,-0.254639,42,-19.3639,4.30315,44.1639,1.10434
proton,-1.12724,-0.225233,42.3018,-0.413467,-14.615,7.29372,0.014539
gamma,-12.8357,-15.872,42,-0.48369,-0.559607,1.39212,0.369058
e-,-15.9485,-19.4733,50.959,-0.623093,-0.868996,1.24427,1.14904
gamma,-2.16134,-0.983577,42,-0.283195,-0.157539,4.84204,4.85287
gamma,-3.56599,14.1152,42,0.0860531,0.187867,0.533549,0.404258
e-,-2.02654,17.4761,51.5449,0.0103752,-0.0136184,0.0140171,0.000461946
e-,-2.02654,17.4761,51.5449,-0.254515,0.0757371,0.35854,0.158743
gamma,0.849734,17.0365,42,-0.00660674,0.0649118,0.227175,0.125257
e-,0.811272,17.4144,43.3225,0.0199024,0.0821101,0.344578,0.106441
gamma,10.682,-16.3209,42,1.19467,-1.88444,4.75767,5.25488
gamma,-6.75418,17.4026,42,-0.304524,0.742736,1.76939,1.94297
gamma,-3.45188,19.8261,42,-0.0536678,0.446174,1.0092,1.10473
gamma,10.0631,16.3138,42,-0.0105796,0.187765,0.475134,0.37436
e-,9.94405,18.4268,47.347,0.283855,0.102652,0.259203,0.133211
gamma,9.39433,16.548,42,0.438634,0.877221,2.09916,2.31698
gamma,-19.3956,13.7852,42,-0.954811,0.709816,1.99503,2.32285
gamma,5.20679,18.4073,42,0.069331,0.194618,0.467372,0.510999
neutron,-9.00452,14.4838,42,-6.21211,3.90041,18.2381,0.202123
O16,-9.38192,14.7208,43.108,0.0741082,10.1714,0.888346,0
gamma,17.7595,19.8483,42,1.8149,2.082,4.39243,5.18865
gamma,-7.03645,15.8932,42,-0.23629,0.312843,1.06992,0.994581
e-,-8.144,17.3596,47.015,-0.120598,-0.276549,0.279338,0.136589
gamma,-0.325959,14.3409,42,-0.0552702,0.231184,0.81134,0.748917
e-,-0.577968,15.395,45.6994,0.266538,-0.0341858,0.188999,0.0915581
gamma,-15.399,-16.6032,42,-0.591505,-0.374015,1.64869,1.79107
gamma,10.6854,19.1742,42,0.361447,0.473839,1.2691,0.291894
e-,10.8219,19.3531,42.4793,-0.0127433,0.0122138,-0.0144508,0.000481233
e-,10.8219,19.3531,42.4793,0.562716,0.335333,1.39148,1.03001
gamma,-3.13778,-16.6636,42,-0.0894165,-0.284671,0.570748,0.644039
gamma,-1.90008,-17.7846,42,-0.118507,-1.21576,2.66142,2.92836
gamma,0.595208,19.3168,42,-0.0217266,0.175437,0.37724,0.416606
anti_nu_e,-2.01378,-3.74372,42,-0.00716037,-0.0239058,0.174946,0.176717
gamma,-19.5661,0.311114,42,-0.983495,-0.028547,2.00132,2.2301
gamma,18.3304,-3.34138,42,0.645609,-0.150469,1.61256,0.811865
e-,19.9564,-3.72032,46.0611,0.330923,0.484533,1.21481,0.883977
gamma,1.89438,-17.8739,42,0.0113734,-0.221888,0.46017,0.510999
gamma,-15.8133,-15.8477,42,-0.726619,-0.740065,1.98233,1.80318
e-,-17.7593,-17.8297,47.309,0.346418,-0.438745,0.565228,0.416221
gamma,-13.2704,15.0031,42,-1.84279,2.08416,5.99167,6.60604
gamma,13.0893,18.3952,42,0.100424,0.154282,0.409318,0.448809
gamma,-19.6077,-18.2648,42,-0.523885,-0.750202,1.58139,1.82703
gamma,18.5346,9.4252,42,0.943048,0.470083,2.15212,2.39623
gamma,-0.417762,16.0001,42,0.0124222,0.110691,0.524034,0.280851
e-,-0.266324,17.3495,48.3885,-0.00324905,0.0198931,0.00993557,0.000477274
e-,-0.266324,17.3495,48.3885,0.172355,0.312538,0.444137,0.243403
gamma,-9.5927,18.2977,42,-0.64024,1.20399,2.54413,2.88654
gamma,17.2219,-16.3797,42,0.393977,-0.399448,0.999821,1.14648
gamma,6.2853,14.816,42,0.0604324,0.189344,0.910736,0.678972
e-,6.5662,15.6961,46.2332,0.407508,0.222459,0.327543,0.244881
gamma,-0.786978,-19.3731,42,-0.047407,-0.70998,1.65474,0.75164
e-,-0.794854,-19.4911,42.2749,-0.404441,-0.957623,1.04578,0.97984
gamma,0.787051,-17.6037,42,-0.00741879,-0.335146,0.820795,0.805239
e-,0.757561,-18.936,45.2627,-0.205484,0.116089,0.184573,0.0791982
gamma,-18.8737,9.42032,42,-1.24041,0.567762,2.77484,3.09204
