#class tools::wcsv::ntuple
#title Data
#separator 44
#vector_separator 59
#column string name
#column double x
#column double y
#column double z
#column double vx
#column double vy
#column double vz
#column double E
anti_nu_e,13.5664,7.16925,42,0.0791029,0.0416536,0.243159,0.259072
e-,-13.611,3.64617,42,-0.0930451,0.184415,0.998671,0.629658
gamma,7.16697,-15.1107,42,0.229918,-0.341144,1.15647,1.22746
gamma,-13.4194,16.7938,42,-0.486886,0.684837,1.88715,0.649043
e-,-13.9504,17.5407,44.0581,0.0226072,-0.0015516,-0.00262685,0.000488731
e-,-13.9504,17.5407,44.0581,-0.837688,0.205277,1.64592,1.25102
gamma,4.40672,-17.2622,42,0.206309,-0.519971,1.21166,0.336086
e-,4.6566,-17.892,43.4676,0.534797,-0.578652,1.18174,0.95499
gamma,0.225547,-1.64742,42,-0.00538648,-0.248655,6.25446,1.10686
e-,0.210928,-2.32226,58.9743,-0.701962,0.291088,5.589,4.80742
gamma,-0.920872,0.01692,42,-0.0742452,-0.0164996,2.49059,0.487176
e-,-1.20527,-0.0462817,51.5402,0.206227,-0.400355,2.42159,1.88258
gamma,8.79156,-17.1816,42,0.689629,-1.40224,3.3895,3.73237
gamma,-12.553,19.0643,42,-0.925099,1.48185,3.26327,3.70144
gamma,18.8703,17.2756,42,2.59932,2.36279,5.83678,6.81229
gamma,-0.222059,-1.9165,42,-0.0310904,-0.0739237,0.479933,0.422287
e-,-0.401908,-2.34413,44.7763,-0.0830067,-0.232534,0.0940886,0.062016
anti_nu_e,-18.9419,6.26671,42,-0.167722,0.0543859,0.315777,0.361668
gamma,-5.85107,15.2296,42,-0.233917,0.510911,1.94771,0.990007
e-,-7.27161,18.3323,53.8281,0.478443,0.566905,1.25906,0.996414
gamma,3.0727,17.7489,42,-0.0718103,0.315256,0.806323,0.816746
e-,2.8934,18.536,44.0132,0.0601632,0.228453,0.00304688,0.0496534
gamma,-1.69198,1.1875,42,-0.223179,0.0888288,2.79738,1.30616
e-,-2.63768,1.5639,53.8536,0.633906,-0.133249,1.83559,1.39057
gamma,7.11693,17.0402,42,0.0367019,0.162306,0.430625,0.439628
e-,7.38727,18.2357,45.1718,-0.00111523,0.151555,-0.00388145,0.0211968
