#class tools::wcsv::ntuple
#title Data
#separator 44
#vector_separator 59
#column string name
#column double x
#column double y
#column double z
#column double vx
#column double vy
#column double vz
#column double E
gamma,-11.9271,-19.6287,42,-0.57062,-1.11176,2.51885,2.8118
gamma,-17.9383,-3.00484,42,-0.387227,-0.100149,1.12226,1.1914
gamma,0.0364266,16.4547,42,-0.0317623,2.52608,7.21654,7.64595
gamma,-0.997831,-1.63166,42,-0.0360649,-0.0808686,0.503269,0.323217
e-,-1.59941,-2.98057,50.3947,0.0159974,0.0155752,-0.004679,0.000491705
e-,-1.59941,-2.98057,50.3947,0.144587,0.194211,0.409634,0.179833
gamma,15.1537,19.6928,42,1.81113,2.27917,4.86457,5.66911
gamma,17.0354,-8.80123,42,0.165449,-0.153419,0.491076,0.540431
gamma,11.2545,17.2539,42,0.106847,0.100669,0.258164,0.293575
e-,13.326,19.2056,47.0052,-0.040013,-0.019801,0.0385827,0.00325571
gamma,0.621834,-19.3438,42,0.0638144,-1.15498,2.45282,2.71189
gamma,-2.54068,15.6596,42,-0.151298,0.521628,1.2694,1.38071
gamma,-17.8667,-19.8299,42,-0.163693,-0.134129,0.30067,0.36768
gamma,3.82999,-19.4017,42,0.0578053,-0.210025,0.484862,0.531548
nu_e,-6.70095,19.6455,42,-0.237422,0.685576,1.44372,1.61577
gamma,19.8664,-4.66839,42,0.188116,-0.076051,0.397211,0.446036
gamma,-17.8313,19.6544,42,-0.267576,0.324002,0.66819,0.598471
e-,-17.8943,19.7307,42.1574,0.0144435,0.0164757,-0.00499461,0.000489626
e-,-17.8943,19.7307,42.1574,0.044326,0.449712,0.162892,0.182092
neutron,16.9916,-18.4412,42,19.157,-9.11229,24.7502,0.383812
proton,18.491,-19.1545,43.9372,11.8767,11.1463,8.68887,0.0496392
gamma,2.84355,-15.7878,42,0.378183,-2.57524,6.68462,7.17349
gamma,-19.7177,-10.9289,42,-0.0671039,-0.0582707,0.141165,0.166811
gamma,4.38958,19.424,42,0.23525,0.393828,1.44525,1.51631
gamma,11.8027,-15.2563,42,0.634358,-1.07679,3.05815,3.30366
gamma,1.45099,-17.2293,42,0.020709,-0.909074,2.10591,2.29384
gamma,-0.0365477,0.257457,42,0.00997831,0.0325775,4.0807,4.08085
gamma,-4.8294,-18.1449,42,-0.588435,-2.24727,5.29943,5.78623
gamma,9.91839,17.9355,42,0.246419,0.476718,1.18443,1.30033
gamma,14.3588,-15.4418,42,0.545413,-0.64089,1.98824,2.15901
gamma,-0.0352086,-14.7877,42,0.0182617,-1.05068,2.91905,3.10244
gamma,-12.2851,-18.581,42,-0.0703274,-0.0753009,0.213669,0.237214
gamma,-7.91507,-17.1081,42,-0.169226,-0.275281,0.742741,0.262283
e-,-9.67663,-19.9736,49.7316,0.0545376,-0.289914,0.879022,0.522797
gamma,-1.99996,-2.01327,42,-0.204716,-0.142708,3.6263,2.17578
e-,-2.26083,-2.19513,46.621,-0.952509,-0.397931,1.59826,1.38222
gamma,10.1589,-19.9623,42,0.167705,-0.354842,0.795839,0.887354
gamma,2.22897,16.0031,42,0.0971087,0.649807,1.41798,0.729515
e-,2.71137,19.2312,49.044,-0.00899061,-0.018894,0.00719512,0.000375314
e-,2.71137,19.2312,49.044,-0.370452,0.160672,1.17536,0.782157
gamma,18.4501,18.7741,42,1.67479,1.60433,3.38441,4.10281
gamma,-15.4048,18.483,42,-2.1524,2.54526,5.90878,6.78416
gamma,-14.0335,19.5779,42,-0.231135,0.242722,0.719066,0.793343
gamma,-3.07604,-1.18382,42,-0.113693,-0.00363622,0.590411,0.447132
e-,-5.58393,-1.26403,55.0235,-0.183472,-0.291048,0.250791,0.149604
gamma,-2.00323,1.91716,42,-0.204375,0.143951,3.91826,0.264668
e-,-2.64581,2.36976,54.3194,-0.0786771,0.103603,4.13909,3.42768
neutron,5.1522,-17.3265,42,5.70822,-25.7485,55.7003,1.64204
O16,5.33633,-18.1571,43.7967,-14.8454,-9.04172,104.555,0
gamma,-18.9999,14.1199,42,-1.38819,1.14373,3.34676,3.79947
gamma,16.1267,-17.6952,42,0.196889,-0.154761,0.420014,0.465523
e-,17.9654,-19.1405,45.9225,0.13591,0.0757971,0.0174559,0.0223329
gamma,0.262457,-14.214,42,-0.0110168,-0.477701,1.58455,1.65502
gamma,4.69186,18.9354,42,0.00946552,0.149497,0.361634,0.268918
e-,4.72433,19.4482,43.2404,0.251372,0.12169,0.249407,0.115301
gamma,9.43451,-17.0534,42,0.457157,-0.63437,1.40961,1.61196
gamma,7.92767,19.6169,42,0.1048,0.615499,1.08888,1.25518
gamma,16.2641,-18.9967,42,0.469637,-0.587469,1.19086,1.40848
