#class tools::wcsv::ntuple
#title Data
#separator 44
#vector_separator 59
#column string name
#column double x
#column double y
#column double z
#column double vx
#column double vy
#column double vz
#column double E
gamma,-19.5588,-13.1781,42,-0.979658,-0.662204,2.14027,2.4452
gamma,-12.2172,-14.0593,42,-0.553442,-0.372265,1.55727,0.354219
e-,-13.8112,-15.1314,46.485,-0.430147,-0.0830242,1.72412,1.27091
gamma,-17.1807,-1.45141,42,-0.231694,0.0175868,0.815818,0.848263
gamma,5.25731,17.3154,42,0.343315,1.1429,2.70814,0.38736
e-,5.29534,17.442,42.3,0.581801,0.868559,2.855,2.17552
neutron,18.0926,-3.5706,42,17.1888,-7.1727,43.5137,1.19147
gamma,19.0724,-8.08234,42,0.890112,-0.480246,2.2265,2.44545
gamma,8.41096,-15.6428,42,0.147638,-0.402995,1.05679,1.14062
neutron,-12.8709,-2.32675,42,-5.78232,-8.37953,15.7244,0.112606
proton,-13.3791,-3.06322,43.382,-0.728528,4.38929,10.9254,0
gamma,-19.7587,12.0876,42,-0.655712,0.416524,1.31375,1.52623
gamma,17.6644,8.28856,42,0.192507,0.102299,0.543362,0.585463
gamma,-1.83919,-1.3161,42,-0.141189,-0.0589954,2.94373,0
O16,-2.70881,-1.67947,60.1313,-0.545666,-0.607956,0.301841,0
e+,-2.70881,-1.67947,60.1313,0.333505,0.089892,1.25226,0.836623
e-,-2.70881,-1.67947,60.1313,0.0709711,0.459068,1.38963,0.9583
neutron,12.1347,18.7434,42,8.36053,13.0562,28.7914,0.444045
proton,12.1723,18.8021,42.1293,-10.0882,9.22585,6.89186,0.0216824
gamma,18.2036,3.66298,42,0.630562,0.666658,1.3748,1.65291
gamma,11.5867,19.1038,42,1.17987,1.85661,4.26865,4.80213
gamma,-5.66407,-18.6618,42,-0.263434,-0.7349,1.70463,1.8749
gamma,-13.7006,19.7849,42,-0.372083,0.402164,0.977522,1.12059
gamma,-19.9816,17.9643,42,-0.978221,0.925487,2.27963,2.64767
gamma,18.9562,7.21237,42,0.376581,0.103798,0.906908,0.987456
gamma,-4.66197,14.9892,42,-0.163959,0.555827,1.76044,1.85337
gamma,15.8443,-19.5841,42,0.931269,-1.15576,2.51337,2.91892
gamma,-5.67315,-15.936,42,-0.458118,-1.19699,3.18687,3.43494
gamma,5.43187,-18.3378,42,0.569777,-1.83654,4.29787,4.70842
gamma,0.0488412,-16.6414,42,0.00955308,-0.0583555,0.168074,0.1753
e-,0.382648,-18.6805,47.8729,-0.00585784,0.0462806,0.0274534,0.00277392
gamma,5.61392,19.8444,42,0.022415,0.087959,0.231127,0.248312
