#class tools::wcsv::ntuple
#title Data
#separator 44
#vector_separator 59
#column string name
#column double E
gamma,7.92381
gamma,7.66604
gamma,2.66646
gamma,1.34705
gamma,3.04415
gamma,1.72271
gamma,3.9094
gamma,2.07014
gamma,3.45282
gamma,5.01486
gamma,0.748366
gamma,3.41414
gamma,2.73744
gamma,1.69181
gamma,2.20146
gamma,0.510999
gamma,0.298295
e-,0.893538
gamma,1.40137
gamma,4.16729
gamma,8.36465
gamma,3.12911
gamma,6.58298
gamma,2.93861
gamma,0.373252
gamma,1.90564
neutron,1.03484
proton,0
gamma,0.959203
gamma,1.34008
e-,0.859552
gamma,4.58751
gamma,3.29422
gamma,1.92671
gamma,0.510999
gamma,0.444717
neutron,0.233903
proton,0
gamma,2.89008
gamma,0.398803
gamma,1.59216
gamma,3.70026
gamma,2.59708
gamma,2.32156
gamma,3.31947
gamma,2.90582
gamma,1.33617
gamma,1.7848
gamma,2.49096
gamma,3.83583
gamma,1.48069
gamma,2.45312
gamma,3.67933
gamma,6.67814
gamma,2.49561
gamma,1.07964
gamma,2.13309
gamma,2.53178
gamma,1.86846
gamma,2.14645
e+,5.05932
gamma,3.0564
gamma,7.22792
gamma,0.249861
e-,0.50211
gamma,3.44512
gamma,2.41184
gamma,1.85955
gamma,2.90406
gamma,3.21444
gamma,2.34225
gamma,5.57766
gamma,5.15786
gamma,4.65047
gamma,4.44211
gamma,2.35031
gamma,0.12092
gamma,4.33129
gamma,1.61671
gamma,0.265474
e-,1.06084
gamma,1.94247
gamma,1.62656
gamma,1.6721
gamma,0.213037
gamma,0
O16,0
e+,5.15728
e-,0.540013
gamma,6.36449
gamma,3.43997
gamma,0.892069
e-,0.87322
gamma,5.48577
gamma,13.0491
gamma,0.55082
gamma,3.72037
gamma,1.52577
gamma,2.18407
gamma,0.524269
gamma,1.90066
e-,0.354377
gamma,1.54403
gamma,0.404541
gamma,1.98081
gamma,2.74734
gamma,2.81238
gamma,4.43038
gamma,6.97816
gamma,2.11281
gamma,2.97771
gamma,1.50186
gamma,1.77355
e-,1.05474
gamma,0.259294
e-,1.17518
gamma,0
e-,0.00050898
e-,0.00878775
gamma,9.70078
gamma,4.06656
gamma,1.38496
gamma,0.601676
gamma,3.74042
gamma,2.21696
gamma,1.53627
gamma,1.81539
gamma,3.62357
gamma,3.24928
gamma,6.59108
gamma,0.888228
gamma,5.81554
gamma,1.07868
gamma,0.781255
gamma,3.49417
gamma,0.510999
gamma,0.670128
gamma,1.53807
gamma,4.57068
gamma,2.99808
gamma,1.82146
gamma,1.66404
gamma,3.35683
gamma,7.78544
gamma,3.6262
gamma,2.03736
gamma,6.49866
gamma,1.1638
gamma,3.11215
gamma,6.84992
gamma,1.53582
gamma,1.1464
gamma,0.237139
gamma,4.43559
gamma,0.81324
e-,1.93216
gamma,0.754055
gamma,6.14357
gamma,7.16978
gamma,2.42735
gamma,0.283779
gamma,5.9957
gamma,6.77648
gamma,9.333
gamma,2.99613
e-,8.37389
gamma,1.58305
gamma,1.65473
gamma,2.42083
gamma,2.75607
gamma,1.01658
gamma,3.07753
gamma,0.510999
gamma,4.54496
gamma,2.08524
gamma,1.16128
gamma,2.6384
gamma,4.37721
gamma,0.244465
e-,0.254481
gamma,2.7075
gamma,1.60864
gamma,1.82457
gamma,2.2091
gamma,0.304273
gamma,1.76736
gamma,1.95913
gamma,10.1348
gamma,0.216317
e-,0.0620068
gamma,2.2492
gamma,9.69706
gamma,6.80099
gamma,12.1551
gamma,2.82206
gamma,0.467444
gamma,3.57234
gamma,5.08102
gamma,3.35126
gamma,1.82382
gamma,1.18583
gamma,4.23711
gamma,3.16075
gamma,1.24205
gamma,2.16619
gamma,0.564264
gamma,6.83706
gamma,0.380533
gamma,2.03294
gamma,4.52126
gamma,2.25087
gamma,0.128578
e-,0.113672
gamma,0.100621
e-,0.0633841
gamma,4.68839
gamma,0.706581
gamma,3.99519
gamma,2.52956
gamma,0.510999
gamma,2.93781
e-,0.0705069
gamma,2.34785
gamma,0.396855
gamma,0.262392
e-,1.39751
gamma,0.901778
gamma,1.74264
gamma,4.44467
gamma,1.78381
gamma,3.25741
gamma,2.70374
gamma,2.49887
gamma,3.03675
gamma,1.22021
gamma,2.56333
gamma,0.657907
gamma,0.182235
e-,0.31597
gamma,5.6348
gamma,5.49307
gamma,0.249635
gamma,1.99261
gamma,6.51948
gamma,1.68418
gamma,2.74174
gamma,5.7822
gamma,4.50276
gamma,1.45351
gamma,1.63919
gamma,7.00784
gamma,2.37664
