name,x,y,z,vx,vy,vz,E
gamma,-0.535311,-1.23636,42.0,-0.0101666,-0.0419188,0.285621,0.257786
gamma,0.43263,0.069413,42.0,0.0633409,0.0188125,5.57258,5.57297
gamma,-0.344692,-2.07352,42.0,-0.00227623,-0.110845,2.00542,1.96718
gamma,-0.852449,0.0241062,42.0,-0.0797457,-0.0243426,3.40081,0.0
gamma,-1.01524,1.96352,42.0,-0.109546,0.216749,3.90617,0.560735
gamma,-1.75273,0.11616,42.0,-0.105351,-0.00947002,1.87316,0.445363
gamma,1.45505,1.60822,42.0,0.146154,0.111806,3.75372,0.561658
gamma,3.00722,1.33449,42.0,1.17987,1.02878,2.02994,0.541697
gamma,-2.31963,-0.367794,42.0,-0.213291,0.0604778,1.73321,1.74733
gamma,-0.523244,1.24589,42.0,-0.0452973,0.0636562,2.18371,0.416133
gamma,-2.40975,1.38384,42.0,-0.252877,-0.0464673,2.47466,2.37178
gamma,1.63476,-0.724853,42.0,0.0563008,-0.0792179,1.55848,0.391469
gamma,0.379812,-0.993256,42.0,0.0372628,-0.0335122,2.67709,0.401713
gamma,-0.257173,0.828374,42.0,-0.00107713,0.036016,4.38287,0.26679
gamma,-0.601104,0.201489,42.0,-0.0258973,-0.0538662,0.400958,0.288524
gamma,1.8383,-1.36257,42.0,0.306252,-0.27915,6.36309,1.45824
gamma,2.40605,-1.46004,42.0,0.142703,0.0260173,1.25829,0.27553
gamma,1.33951,-0.353553,42.0,0.174395,-0.0502373,1.9718,0.634186
gamma,0.0728655,0.730528,42.0,-0.000238706,0.0326827,2.52736,1.76181
gamma,0.367725,-1.10043,42.0,0.0200686,0.0447245,2.5714,0.905251
gamma,0.265289,-0.22114,42.0,0.0695393,-0.0433463,1.45395,1.05005
gamma,-1.37336,2.07084,42.0,-0.0458658,0.0645763,0.362228,0.364382
gamma,1.92691,1.14455,42.0,0.386542,0.266491,7.33555,5.90522
gamma,-1.60741,0.624318,42.0,-0.0362947,-0.0184536,0.242817,0.232235
gamma,-1.05786,1.1721,42.0,-0.198858,0.158367,9.83608,0.0
gamma,1.8182,0.292258,42.0,0.498887,-0.0755834,9.61636,9.62959
gamma,-0.480391,1.86029,42.0,-0.130969,0.321048,4.11371,3.94107
gamma,1.76989,0.422011,42.0,0.13043,-0.0103513,1.24747,0.50411
gamma,-1.4711,-1.39333,42.0,-0.36836,-0.269322,6.02433,0.0
gamma,0.262404,-0.997283,42.0,0.0361106,-0.101265,1.97928,1.98219
gamma,2.04424,-1.37072,42.0,0.0600922,-0.0237082,1.23325,1.02887
gamma,-0.227977,-1.23076,42.0,-0.00278151,-0.026176,1.47569,1.43569
gamma,-1.96151,1.77921,42.0,-0.0589738,0.0918541,0.677225,0.685966
gamma,2.21411,-1.66821,42.0,0.258234,-0.174224,3.99234,0.608821
gamma,-0.169975,-1.04561,42.0,0.0997544,0.00795061,2.31342,2.31558
gamma,-0.29741,1.8442,42.0,-0.00263378,0.134831,1.84163,1.84656
gamma,0.82279,0.97097,42.0,0.228817,0.359521,1.47695,1.39486
gamma,1.79172,-0.0730181,42.0,0.114974,0.0310537,3.37003,1.73207
gamma,-1.07168,-1.54424,42.0,0.00648717,0.0196369,0.51058,0.276876
gamma,0.71771,1.65039,42.0,0.0466662,0.221575,5.4954,0.248478
gamma,-2.04977,-0.0267734,42.0,-0.109729,0.0208495,2.32046,0.250379
gamma,2.34691,0.94619,42.0,0.15144,0.0655479,1.76151,1.76922
gamma,1.50129,0.336114,42.0,0.0784802,-0.0060045,3.1672,1.21038
gamma,1.21464,-1.60174,42.0,0.0243476,-0.031445,0.422437,0.402704
gamma,1.09628,-1.22707,42.0,0.0989331,-0.0739115,4.18052,1.02243
gamma,0.943846,0.982351,42.0,0.857299,0.376404,12.9435,0.0
gamma,0.516798,-1.12664,42.0,0.146407,-0.0592085,3.46538,1.58535
gamma,-0.0420143,-0.0979731,42.0,0.0371288,0.0142142,3.69944,0.398709
gamma,-1.83285,-0.000415603,42.0,-0.371334,-0.0693052,7.89394,4.8586
gamma,1.32483,-0.289744,42.0,0.0841695,-0.0109542,2.0201,2.02188
gamma,-0.869416,1.24877,42.0,-0.0746081,0.136991,3.46624,0.29114
gamma,0.259758,-0.838728,42.0,0.00654797,-0.145239,4.77136,3.28046
gamma,-0.347761,1.31226,42.0,-0.010595,0.110169,2.97774,0.678431
gamma,1.45886,0.708759,42.0,0.0843232,0.0326674,1.86152,1.86371
gamma,-0.0989234,-0.877812,42.0,-0.0205956,-0.172198,4.25353,4.25707
gamma,-1.3918,0.507234,42.0,-0.153167,0.0284918,5.69649,2.10589
gamma,1.714,1.80737,42.0,0.121426,0.106612,2.81253,2.81717
gamma,-1.56482,0.114438,42.0,-0.859045,-0.522172,1.84831,1.46529
gamma,1.46153,-1.47077,42.0,0.114458,-0.0747558,2.74929,1.46554
gamma,-1.16792,-0.341067,42.0,-0.102324,-0.0070947,2.47699,2.47911
gamma,0.637337,-1.99085,42.0,0.0485412,-0.203437,3.52498,3.53118
gamma,-0.610755,-1.68939,42.0,-0.0699947,-0.111105,3.60927,0.584042
gamma,1.72471,-0.217889,42.0,0.174164,-0.00508733,3.53707,3.54136
gamma,-0.223116,-1.82627,42.0,-0.0120822,-0.104223,2.10139,0.973855
gamma,1.04439,0.385488,42.0,0.10722,-0.0382971,2.59797,2.60046
gamma,-0.70521,0.553011,42.0,-0.0517029,0.0338517,2.17803,0.416355
gamma,2.31323,-0.465028,42.0,0.322324,0.0252582,3.50324,0.235691
gamma,1.71605,1.02612,42.0,0.0784063,0.033089,1.15828,1.16141
gamma,-2.88332,-0.143486,42.0,-0.177671,-0.0646851,1.09201,0.244187
gamma,0.28574,0.560154,42.0,0.015345,0.0593389,2.40415,0.335384
gamma,-3.06473,-0.258626,42.0,-0.197809,-0.0912315,1.17238,0.489321
gamma,0.852816,0.132701,42.0,0.0704216,-0.00551636,2.32335,2.20684
gamma,-1.94646,1.11789,42.0,-0.152642,0.189522,2.43114,0.289869
gamma,-0.191183,-0.263238,42.0,-0.0200379,-0.0824106,1.55985,1.07957
gamma,-1.8762,-1.42346,42.0,-0.313701,-0.380286,0.792092,0.323691
gamma,1.59862,-1.85006,42.0,0.155439,-0.295595,5.49156,0.656642
gamma,0.748639,0.644635,42.0,0.0784487,0.0155499,3.05372,2.00029
gamma,2.38902,-0.009921,42.0,0.132267,-0.117324,1.39568,0.78512
gamma,-0.268625,1.03363,42.0,-0.0559577,0.123484,3.43909,0.447004
gamma,-1.10932,-0.487894,42.0,-0.113472,-0.173112,7.44088,7.44376
gamma,-1.46185,1.40935,42.0,-0.107798,0.140867,4.22698,0.0
gamma,2.13097,-1.13219,42.0,0.585185,-0.339509,9.67179,9.27415
gamma,0.530962,-2.04158,42.0,0.0146118,-0.252786,4.32039,4.3278
gamma,0.290378,1.24477,42.0,-0.0899804,-0.00760818,1.57542,0.471503
gamma,-3.63026,1.62946,42.0,-0.13134,0.185381,0.393571,0.454439
gamma,-0.16652,-0.0627606,42.0,-0.0157919,-0.0356426,3.39143,3.39166
gamma,0.217187,1.39828,42.0,-0.0571604,0.0122595,5.47847,5.47878
gamma,2.17218,1.1297,42.0,0.161166,0.125172,2.19362,2.10114
gamma,-1.17151,1.40369,42.0,-0.251307,0.313149,6.93155,6.94317
gamma,-1.08251,1.48717,42.0,-0.159766,0.150783,4.75317,3.88784
gamma,0.401145,0.421323,42.0,0.010198,0.00664935,1.47838,0.630593
gamma,-0.547735,-1.903,42.0,-0.0353786,-0.112486,2.37862,2.37804
gamma,-0.736445,4.63437,42.0,-0.0819148,0.164776,2.0354,1.2203
gamma,-0.757366,0.224272,42.0,-0.0380278,-0.0119657,2.38767,1.37419
gamma,0.360817,-0.506454,42.0,0.0538975,-0.0234686,3.77961,3.78007
gamma,1.47292,-1.7562,42.0,0.124347,-0.0429322,1.13984,0.340175
gamma,-0.56304,0.487273,42.0,0.0623197,0.0127567,2.00373,0.721573
gamma,1.31071,0.932442,42.0,0.200016,0.212345,8.76515,0.591609
gamma,-0.710636,0.86133,42.0,-0.033862,0.0585936,2.50236,2.50328
gamma,0.650835,1.59313,42.0,0.0647277,0.133952,4.173,0.524987
gamma,-2.13533,1.94752,42.0,-0.359505,0.298376,5.76464,1.89348
gamma,-0.606584,1.30696,42.0,-0.190224,0.323313,8.24174,8.25027
gamma,-1.33267,1.56939,42.0,-0.292805,0.287168,7.73969,7.75055
gamma,-2.46097,-0.135047,42.0,-0.0778177,-0.00200722,0.528125,0.426598
gamma,1.78888,-1.68553,42.0,0.138848,-0.132593,2.7331,0.253837
gamma,-0.523824,-1.71759,42.0,-0.0274567,-0.37985,6.86994,0.0
gamma,-0.642321,-3.33156,71.1982,-0.000861206,0.00078986,0.030772,0.0307942
gamma,0.666081,-1.73927,42.0,-0.0405214,-0.0838923,2.12503,1.41966
gamma,0.539267,0.91841,42.0,0.0685699,-0.348378,1.871,1.00592
gamma,1.13957,1.08668,42.0,0.0951112,-0.017562,2.01495,1.33262
gamma,0.0332988,1.10368,42.0,0.00287462,0.0303191,1.44813,0.262565
gamma,1.49273,0.413706,42.0,0.0913894,0.1428,2.93475,2.04029
gamma,-2.04557,0.491343,42.0,-0.187253,0.0306885,3.60982,1.7867
gamma,0.770731,1.07615,42.0,0.289214,-0.177689,1.69152,0.596505
gamma,1.88951,-0.43879,42.0,0.0168293,-0.0101169,0.377662,0.314395
gamma,0.560126,-0.396166,42.0,0.015827,0.0648626,0.51505,0.519359
gamma,-2.19133,-0.710937,42.0,-0.383372,-0.126054,5.62607,5.64052
gamma,1.61462,1.48628,42.0,0.350085,0.30841,7.67434,7.68851
gamma,-1.65945,-1.28384,42.0,-0.0183521,-0.254858,0.420736,0.284947
